gene,relationship,pw
2782,GpPW,PC7_6570
5080,GpPW,PC7_5330
26986,GpPW,WP2853_r83014
6513,GpPW,PC7_4466
221037,GpPW,PC7_4449
80321,GpPW,PC7_6890
6217,GpPW,PC7_685
63967,GpPW,PC7_1688
1072,GpPW,PC7_6958
6228,GpPW,PC7_3774
84335,GpPW,PC7_1877
9948,GpPW,PC7_6514
3791,GpPW,PC7_4762
3747,GpPW,PC7_6543
5721,GpPW,PC7_5530
847,GpPW,PC7_6649
51079,GpPW,WP1433_r83527
5440,GpPW,PC7_6808
4782,GpPW,PC7_6807
109,GpPW,PC7_1571
7157,GpPW,PC7_6191
2033,GpPW,PC7_6918
9584,GpPW,WP411_r79980
1432,GpPW,PC7_2372
4312,GpPW,WP1984_r82941
5607,GpPW,PC7_3698
7046,GpPW,PC7_4284
341392,GpPW,PC7_5322
51714,GpPW,WP15_r82705
1235,GpPW,PC7_3046
115,GpPW,PC7_3994
3667,GpPW,PC7_7460
10762,GpPW,PC7_4729
3091,GpPW,PC7_6086
4089,GpPW,WP2853_r83014
902,GpPW,PC7_3349
5533,GpPW,WP35_r79952
8795,GpPW,WP254_r84652
3383,GpPW,PC7_4773
2769,GpPW,PC7_4638
5692,GpPW,PC7_6915
7189,GpPW,PC7_8055
3484,GpPW,PC7_4340
5590,GpPW,WP2012_r82900
5682,GpPW,PC7_1521
2244,GpPW,PC7_2671
192669,GpPW,PC7_2926
2832,GpPW,WP455_r81793
50488,GpPW,PC7_6072
2902,GpPW,WP666_r68893
283375,GpPW,PC7_8339
6139,GpPW,PC7_4112
81490,GpPW,PC7_4262
4205,GpPW,PC7_5558
140606,GpPW,WP28_r71888
7480,GpPW,WP399_r79474
6093,GpPW,PC7_7660
4337,GpPW,PC7_5322
441608,GpPW,PC7_4043
57761,GpPW,WP236_r80209
348995,GpPW,PC7_4211
785,GpPW,PC7_5697
5715,GpPW,PC7_2521
1129,GpPW,PC7_3992
8370,GpPW,PC7_7484
64127,GpPW,PC7_5558
3265,GpPW,PC7_4583
55746,GpPW,PC7_4728
6883,GpPW,PC7_6799
5578,GpPW,PC7_4112
4537,GpPW,PC7_5322
116138,GpPW,PC7_4657
1295,GpPW,PC7_2668
6772,GpPW,PC7_7851
3422,GpPW,PC7_5326
6505,GpPW,PC7_1630
5683,GpPW,PC7_1537
5080,GpPW,PC7_3084
4938,GpPW,PC7_2907
9514,GpPW,WP702_r73516
2146,GpPW,PC7_6233
26689,GpPW,PC7_7439
8569,GpPW,PC7_7448
6366,GpPW,PC7_2620
3690,GpPW,PC7_7493
2906,GpPW,PC7_5887
7529,GpPW,PC7_4741
5880,GpPW,PC7_7423
50999,GpPW,PC7_7484
90423,GpPW,PC7_4806
25855,GpPW,PC7_4334
6827,GpPW,PC7_4365
50814,GpPW,PC7_5326
59338,GpPW,PC7_2624
5153,GpPW,PC7_2926
572,GpPW,WP254_r84652
2066,GpPW,PC7_2926
5894,GpPW,PC7_4749
138474,GpPW,PC7_6799
518,GpPW,WP623_r79961
79682,GpPW,PC7_2575
51741,GpPW,PC7_12279
8346,GpPW,PC7_7272
5000,GpPW,PC7_1554
2250,GpPW,PC7_3278
3113,GpPW,PC7_8338
2953,GpPW,PC7_5322
109,GpPW,WP35_r79952
6324,GpPW,PC7_4765
3556,GpPW,PC7_7461
2150,GpPW,PC7_2620
10197,GpPW,PC7_4492
5690,GpPW,PC7_6815
134266,GpPW,PC7_5330
7314,GpPW,PC7_7427
5734,GpPW,PC7_4043
6311,GpPW,WP2371_r84649
445,GpPW,PC7_1629
1509,GpPW,PC7_5323
9282,GpPW,PC7_8328
6134,GpPW,PC7_685
1398,GpPW,PC7_4820
55879,GpPW,PC7_8339
4249,GpPW,PC7_5330
284521,GpPW,PC7_6044
4790,GpPW,WP1984_r82941
1000,GpPW,PC7_6542
119391,GpPW,PC7_4219
4790,GpPW,PC7_2467
5151,GpPW,PC7_7439
1580,GpPW,PC7_5322
26108,GpPW,PC7_11610
8344,GpPW,PC7_5272
7311,GpPW,PC7_2520
1001,GpPW,PC7_2527
342132,GpPW,PC7_4116
8074,GpPW,PC7_7718
4041,GpPW,PC7_7439
9861,GpPW,PC7_1672
4792,GpPW,WP75_r83867
7140,GpPW,WP383_r80200
207,GpPW,PC7_6870
6194,GpPW,WP49_r78543
6416,GpPW,PC7_6072
503614,GpPW,PC7_3046
23127,GpPW,PC7_3777
652,GpPW,WP2858_r83015
4736,GpPW,PC7_4729
1577,GpPW,WP229_r68389
890,GpPW,PC7_6875
5441,GpPW,PC7_4729
5000,GpPW,PC7_1813
6898,GpPW,PC7_3853
8335,GpPW,PC7_6790
4051,GpPW,PC7_5508
3065,GpPW,PC7_7463
5578,GpPW,PC7_3328
3625,GpPW,PC7_1667
5170,GpPW,PC7_4449
3481,GpPW,PC7_7439
9491,GpPW,PC7_8625
8323,GpPW,PC7_6108
10811,GpPW,WP1984_r82941
3486,GpPW,PC7_8680
1308,GpPW,PC7_3777
5925,GpPW,WP2261_r81197
3046,GpPW,PC7_4449
25942,GpPW,WP138_r79958
23522,GpPW,PC7_4308
5260,GpPW,PC7_4265
1839,GpPW,PC7_6507
27327,GpPW,PC7_6561
57819,GpPW,PC7_12073
91754,GpPW,PC7_5049
51564,GpPW,WP1544_r84696
6834,GpPW,WP1584_r81779
7015,GpPW,PC7_4340
2002,GpPW,WP2637_r80029
135152,GpPW,PC7_5322
5567,GpPW,PC7_8339
8428,GpPW,PC7_1688
2064,GpPW,PC7_3697
55811,GpPW,PC7_7439
4193,GpPW,PC7_12274
257397,GpPW,WP195_r79965
898,GpPW,WP707_r82937
6712,GpPW,PC7_1563
11222,GpPW,PC7_5521
6897,GpPW,PC7_4112
8204,GpPW,WP34_r72115
390077,GpPW,PC7_4043
8294,GpPW,PC7_2521
2596,GpPW,WP2431_r84650
11065,GpPW,WP2363_r84552
3852,GpPW,PC7_8681
6776,GpPW,WP22_r79264
3558,GpPW,WP2583_r84488
2691,GpPW,PC7_4043
5682,GpPW,PC7_3326
438,GpPW,PC7_1625
140838,GpPW,PC7_5330
7423,GpPW,PC7_4449
219983,GpPW,PC7_6044
2773,GpPW,WP536_r80211
5981,GpPW,WP1530_r84694
1212,GpPW,PC7_4102
57498,GpPW,PC7_1163
4686,GpPW,PC7_8345
4295,GpPW,PC7_4044
7412,GpPW,PC7_2081
6416,GpPW,PC7_2255
4700,GpPW,WP623_r79961
9871,GpPW,PC7_2325
3932,GpPW,PC7_6141
5257,GpPW,PC7_4207
6554,GpPW,WP2879_r79602
6123,GpPW,PC7_4728
5534,GpPW,PC7_7483
2535,GpPW,PC7_8775
2261,GpPW,PC7_7444
5605,GpPW,PC7_3433
2960,GpPW,PC7_4366
5438,GpPW,PC7_4727
4988,GpPW,PC7_3999
29924,GpPW,PC7_4783
2535,GpPW,PC7_1821
5599,GpPW,PC7_7719
997,GpPW,PC7_1563
352954,GpPW,WP2361_r84551
79947,GpPW,PC7_1750
23511,GpPW,PC7_4768
3937,GpPW,PC7_4053
5558,GpPW,PC7_4951
83605,GpPW,PC7_12266
3809,GpPW,PC7_4688
2033,GpPW,PC7_2521
3458,GpPW,WP619_r71168
1026,GpPW,PC7_7446
55663,GpPW,PC7_4116
1981,GpPW,PC7_7460
5888,GpPW,PC7_5271
942,GpPW,PC7_7439
55588,GpPW,PC7_6203
54536,GpPW,PC7_4747
3827,GpPW,PC7_4107
54507,GpPW,PC7_5330
7175,GpPW,PC7_3278
9052,GpPW,WP501_r79715
259289,GpPW,PC7_2622
3990,GpPW,PC7_4970
8912,GpPW,PC7_3084
122618,GpPW,PC7_5326
5525,GpPW,PC7_3278
5562,GpPW,PC7_4663
5707,GpPW,PC7_2520
144193,GpPW,PC7_5322
3560,GpPW,PC7_3327
5438,GpPW,PC7_3959
28998,GpPW,PC7_5524
5023,GpPW,PC7_3652
7311,GpPW,PC7_4741
1499,GpPW,PC7_8664
10746,GpPW,WP195_r79965
81030,GpPW,PC7_4741
6159,GpPW,PC7_8331
3741,GpPW,PC7_5887
53981,GpPW,PC7_6589
9861,GpPW,PC7_8766
5704,GpPW,PC7_4467
3660,GpPW,PC7_4688
5720,GpPW,PC7_4005
2261,GpPW,WP2828_r79529
79023,GpPW,PC7_5985
151,GpPW,PC7_1578
51520,GpPW,PC7_4112
2877,GpPW,PC7_7728
5692,GpPW,PC7_5531
6580,GpPW,PC7_5975
57834,GpPW,WP43_r84102
782,GpPW,PC7_5887
308,GpPW,WP98_r72088
3837,GpPW,PC7_1684
808,GpPW,PC7_4556
51109,GpPW,PC7_3278
246175,GpPW,PC7_5327
23165,GpPW,PC7_4771
8338,GpPW,PC7_2570
28514,GpPW,PC7_3803
9162,GpPW,PC7_4107
3624,GpPW,WP2377_r80437
51052,GpPW,PC7_6396
5718,GpPW,PC7_12274
55168,GpPW,PC7_5521
2773,GpPW,PC7_6050
949,GpPW,PC7_7393
5058,GpPW,WP1984_r82941
6130,GpPW,PC7_3772
10142,GpPW,PC7_6890
10014,GpPW,WP2029_r82903
2767,GpPW,WP3594_r84573
1298,GpPW,PC7_7439
6720,GpPW,PC7_1550
5714,GpPW,PC7_1859
1058,GpPW,PC7_5049
10382,GpPW,PC7_2519
2064,GpPW,PC7_7423
8894,GpPW,WP107_r78489
90423,GpPW,PC7_7460
1281,GpPW,PC7_1812
4067,GpPW,PC7_2907
5296,GpPW,WP364_r83783
55762,GpPW,PC7_4112
58,GpPW,PC7_1123
23462,GpPW,WP61_r78592
1298,GpPW,PC7_7475
5599,GpPW,PC7_4819
7867,GpPW,PC7_8288
6822,GpPW,PC7_2911
166929,GpPW,PC7_7651
57107,GpPW,PC7_5322
4193,GpPW,WP465_r79226
115727,GpPW,WP382_r79951
4176,GpPW,WP1530_r84694
85360,GpPW,PC7_6957
9070,GpPW,PC7_7439
905,GpPW,PC7_4948
6122,GpPW,PC7_5972
171568,GpPW,PC7_6810
1856,GpPW,PC7_8776
8795,GpPW,PC7_1684
55166,GpPW,PC7_5049
84870,GpPW,PC7_12487
1540,GpPW,PC7_5779
2248,GpPW,PC7_7445
8379,GpPW,PC7_5527
3772,GpPW,PC7_4786
10126,GpPW,PC7_7439
402,GpPW,PC7_6537
257397,GpPW,PC7_4819
3985,GpPW,WP366_r84196
3815,GpPW,PC7_4012
23224,GpPW,PC7_5271
2865,GpPW,PC7_3993
5720,GpPW,PC7_2952
7297,GpPW,PC7_6747
3030,GpPW,WP706_r80056
164,GpPW,PC7_2630
3351,GpPW,WP58_r80015
917,GpPW,PC7_6128
5563,GpPW,PC7_4754
5687,GpPW,PC7_2952
3682,GpPW,PC7_4759
842,GpPW,PC7_2679
3695,GpPW,PC7_3360
9349,GpPW,PC7_2469
8128,GpPW,PC7_5697
2693,GpPW,PC7_4107
10257,GpPW,WP2289_r78511
6654,GpPW,PC7_7504
8573,GpPW,PC7_5968
6884,GpPW,PC7_8317
4862,GpPW,PC7_6910
253017,GpPW,PC7_3878
5605,GpPW,PC7_4061
1386,GpPW,PC7_6918
6158,GpPW,PC7_4727
9495,GpPW,PC7_8340
2767,GpPW,PC7_8267
85236,GpPW,PC7_7272
2665,GpPW,PC7_6957
4605,GpPW,PC7_5529
6564,GpPW,PC7_8354
57144,GpPW,PC7_3084
57834,GpPW,PC7_3883
2264,GpPW,PC7_6994
6578,GpPW,PC7_8360
7249,GpPW,PC7_12079
5440,GpPW,PC7_3349
9429,GpPW,WP1601_r84700
85456,GpPW,PC7_5327
25888,GpPW,PC7_2634
390066,GpPW,PC7_4043
10694,GpPW,PC7_6566
5575,GpPW,PC7_7475
516,GpPW,PC7_8229
5716,GpPW,PC7_5322
23198,GpPW,PC7_6881
2625,GpPW,PC7_2170
26873,GpPW,WP100_r74146
5704,GpPW,PC7_1816
4683,GpPW,PC7_5272
55503,GpPW,PC7_7788
11052,GpPW,PC7_7451
9636,GpPW,WP619_r71168
9070,GpPW,PC7_7784
5609,GpPW,PC7_4370
5336,GpPW,PC7_8295
146,GpPW,PC7_4107
6654,GpPW,WP244_r78506
9978,GpPW,PC7_7439
2255,GpPW,PC7_3278
6142,GpPW,PC7_3774
26575,GpPW,PC7_7457
6514,GpPW,PC7_3084
996,GpPW,PC7_1521
3123,GpPW,PC7_1563
27006,GpPW,PC7_7446
104,GpPW,PC7_4112
6119,GpPW,PC7_6933
8567,GpPW,PC7_2506
4088,GpPW,PC7_4340
7316,GpPW,PC7_1516
5603,GpPW,PC7_8664
23636,GpPW,PC7_3278
133522,GpPW,WP1403_r79471
6234,GpPW,PC7_5972
4928,GpPW,PC7_4365
5721,GpPW,PC7_11385
4343,GpPW,PC7_6149
54790,GpPW,PC7_4112
10000,GpPW,PC7_7444
4283,GpPW,PC7_4044
8318,GpPW,PC7_1522
9965,GpPW,PC7_4688
7066,GpPW,PC7_6512
1491,GpPW,WP28_r71888
3949,GpPW,WP2011_r75253
4327,GpPW,WP129_r72054
2687,GpPW,PC7_7740
93426,GpPW,PC7_5273
5600,GpPW,PC7_5078
2247,GpPW,PC7_7717
64240,GpPW,WP430_r82344
80326,GpPW,WP399_r79474
10093,GpPW,PC7_6740
2737,GpPW,PC7_4438
990,GpPW,PC7_5530
6223,GpPW,PC7_5972
9138,GpPW,PC7_7457
57642,GpPW,PC7_2668
1601,GpPW,PC7_4103
7077,GpPW,WP1539_r79949
3687,GpPW,PC7_3777
2967,GpPW,PC7_3959
5718,GpPW,PC7_3427
2779,GpPW,PC7_3999
2539,GpPW,WP692_r69031
5598,GpPW,PC7_5772
22917,GpPW,PC7_4764
3119,GpPW,PC7_5157
26018,GpPW,PC7_3700
5717,GpPW,PC7_4492
57122,GpPW,PC7_5707
3575,GpPW,PC7_4782
983,GpPW,PC7_7504
4060,GpPW,PC7_5322
390261,GpPW,PC7_7457
6482,GpPW,PC7_2500
29760,GpPW,WP23_r79985
10411,GpPW,PC7_4449
257313,GpPW,PC7_4043
23619,GpPW,PC7_4116
4893,GpPW,PC7_3983
2903,GpPW,PC7_2333
1438,GpPW,PC7_4688
5598,GpPW,PC7_3434
2885,GpPW,PC7_2525
1582,GpPW,PC7_7755
2250,GpPW,PC7_3328
7173,GpPW,WP2848_r80009
89,GpPW,PC7_7497
51295,GpPW,WP195_r79965
843,GpPW,WP254_r84652
10053,GpPW,PC7_5873
83884,GpPW,PC7_1629
959,GpPW,PC7_1563
8331,GpPW,PC7_6794
211,GpPW,PC7_6532
5725,GpPW,PC7_12073
581,GpPW,WP3303_r83781
10499,GpPW,PC7_2008
5718,GpPW,PC7_7427
5354,GpPW,WP706_r80056
9568,GpPW,PC7_2622
7074,GpPW,PC7_3084
7224,GpPW,PC7_8066
5290,GpPW,PC7_7447
594857,GpPW,PC7_6396
23165,GpPW,PC7_6589
2771,GpPW,PC7_2372
8350,GpPW,PC7_2532
4439,GpPW,WP34_r72115
346525,GpPW,PC7_6044
1950,GpPW,PC7_5772
596,GpPW,PC7_5995
388,GpPW,PC7_4053
9730,GpPW,PC7_1563
207,GpPW,WP2864_r79278
80196,GpPW,PC7_1563
5588,GpPW,PC7_3327
2146,GpPW,PC7_6072
11097,GpPW,PC7_5990
25978,GpPW,PC7_4366
6233,GpPW,PC7_7797
215,GpPW,PC7_5326
2956,GpPW,WP531_r69021
84254,GpPW,PC7_5890
2918,GpPW,PC7_4043
191,GpPW,PC7_2098
3021,GpPW,PC7_6791
57153,GpPW,PC7_4262
4534,GpPW,PC7_6462
4926,GpPW,WP2858_r83015
1544,GpPW,PC7_5322
64116,GpPW,PC7_8339
221002,GpPW,WP1984_r82941
3265,GpPW,PC7_5890
6206,GpPW,PC7_5324
1054,GpPW,WP2895_r79216
1950,GpPW,PC7_7267
196743,GpPW,PC7_5322
9376,GpPW,PC7_8339
3554,GpPW,PC7_4778
3576,GpPW,PC7_4638
799,GpPW,WP334_r79716
3739,GpPW,PC7_5887
3320,GpPW,PC7_3886
23385,GpPW,PC7_5788
23743,GpPW,WP2328_r84648
6885,GpPW,PC7_7786
4659,GpPW,PC7_6189
9491,GpPW,PC7_5324
80781,GpPW,PC7_4947
5707,GpPW,PC7_1859
3782,GpPW,PC7_2391
2534,GpPW,PC7_8234
335,GpPW,PC7_1655
5714,GpPW,PC7_2519
7314,GpPW,PC7_5783
5469,GpPW,PC7_3882
4738,GpPW,PC7_3278
6667,GpPW,PC7_3852
6786,GpPW,PC7_4449
54539,GpPW,PC7_8229
653361,GpPW,PC7_2705
6654,GpPW,PC7_7463
5836,GpPW,PC7_3278
2147,GpPW,PC7_7457
25898,GpPW,PC7_2623
2798,GpPW,WP117_r82985
9533,GpPW,PC7_6812
6144,GpPW,PC7_4727
2251,GpPW,PC7_2679
5335,GpPW,PC7_3806
84894,GpPW,PC7_12281
63891,GpPW,PC7_4688
54938,GpPW,WP28_r71888
6514,GpPW,PC7_6904
8737,GpPW,PC7_5708
7042,GpPW,PC7_6918
8881,GpPW,PC7_5530
5878,GpPW,PC7_2630
2847,GpPW,PC7_3992
2642,GpPW,PC7_4107
9883,GpPW,PC7_8765
8851,GpPW,WP2059_r82906
3376,GpPW,PC7_12899
2261,GpPW,PC7_1877
686,GpPW,PC7_3017
390144,GpPW,PC7_7439
9631,GpPW,PC7_5990
472,GpPW,PC7_4004
3655,GpPW,PC7_1812
3516,GpPW,PC7_6898
6233,GpPW,PC7_4791
11211,GpPW,WP399_r79474
3630,GpPW,WP1982_r79943
5294,GpPW,PC7_5326
775,GpPW,PC7_3084
2247,GpPW,PC7_7447
6117,GpPW,PC7_2520
160,GpPW,PC7_5772
9507,GpPW,WP474_r80208
1630,GpPW,WP2377_r80437
7409,GpPW,PC7_4688
51554,GpPW,PC7_7457
8001,GpPW,PC7_4965
6347,GpPW,WP2858_r83015
6868,GpPW,PC7_7458
1581,GpPW,PC7_7755
5529,GpPW,WP710_r79974
6139,GpPW,PC7_8712
85236,GpPW,PC7_6815
9662,GpPW,PC7_5529
5170,GpPW,PC7_7446
4094,GpPW,PC7_2440
4283,GpPW,PC7_2543
4609,GpPW,PC7_5528
6850,GpPW,WP2018_r79959
11316,GpPW,PC7_5307
79411,GpPW,PC7_4451
5682,GpPW,PC7_2518
5683,GpPW,PC7_1877
6597,GpPW,PC7_7483
9146,GpPW,PC7_7444
79644,GpPW,PC7_1658
6404,GpPW,PC7_10557
259291,GpPW,PC7_7439
10013,GpPW,PC7_7488
207,GpPW,PC7_2255
5698,GpPW,PC7_5530
3113,GpPW,WP2328_r84648
2557,GpPW,PC7_8340
2892,GpPW,PC7_8629
30,GpPW,WP2878_r79689
3563,GpPW,PC7_4688
971,GpPW,PC7_3084
5433,GpPW,PC7_5993
929,GpPW,PC7_8288
8473,GpPW,WP2858_r83015
8772,GpPW,PC7_5560
6934,GpPW,PC7_7483
3726,GpPW,PC7_1178
3615,GpPW,PC7_5994
1432,GpPW,PC7_5560
8775,GpPW,PC7_5307
6526,GpPW,PC7_4466
57506,GpPW,PC7_5708
10383,GpPW,PC7_4011
8945,GpPW,PC7_2519
29882,GpPW,PC7_5049
153,GpPW,WP3298_r84382
11200,GpPW,PC7_3855
55334,GpPW,WP3529_r84285
10055,GpPW,PC7_6540
6204,GpPW,PC7_5330
6616,GpPW,PC7_2647
805,GpPW,PC7_1529
200010,GpPW,PC7_5322
23404,GpPW,PC7_8429
9843,GpPW,PC7_8339
152831,GpPW,PC7_7478
10092,GpPW,WP2272_r78594
7545,GpPW,WP2064_r79263
3133,GpPW,PC7_4688
8826,GpPW,PC7_5322
3274,GpPW,PC7_3994
7321,GpPW,PC7_5530
442191,GpPW,PC7_7439
8890,GpPW,PC7_6867
8178,GpPW,PC7_4112
23198,GpPW,PC7_7458
51362,GpPW,PC7_4112
50940,GpPW,PC7_5948
5770,GpPW,PC7_4688
8346,GpPW,PC7_2570
2530,GpPW,PC7_8361
9927,GpPW,PC7_3869
5731,GpPW,PC7_4044
5950,GpPW,PC7_6947
4790,GpPW,WP2064_r79263
408,GpPW,PC7_4639
1174,GpPW,PC7_5307
818,GpPW,PC7_4773
11335,GpPW,PC7_4112
6263,GpPW,WP536_r80211
2785,GpPW,PC7_3991
5295,GpPW,WP22_r79264
5627,GpPW,PC7_2671
355,GpPW,PC7_2506
861,GpPW,PC7_8681
51253,GpPW,PC7_5524
389421,GpPW,WP2406_r73324
6526,GpPW,PC7_8352
10803,GpPW,WP455_r81793
22803,GpPW,PC7_1817
6199,GpPW,PC7_6157
150,GpPW,PC7_4449
4782,GpPW,PC7_6797
59349,GpPW,PC7_6815
4690,GpPW,PC7_4688
113457,GpPW,PC7_6642
2150,GpPW,PC7_4044
7251,GpPW,PC7_5308
7525,GpPW,PC7_7439
43,GpPW,PC7_1178
9343,GpPW,PC7_12073
8337,GpPW,PC7_2570
5203,GpPW,PC7_2685
26224,GpPW,PC7_6642
4548,GpPW,WP1533_r82707
54600,GpPW,WP694_r67062
1820,GpPW,PC7_3277
27190,GpPW,WP2873_r79696
10421,GpPW,PC7_6589
604,GpPW,WP23_r79985
2683,GpPW,PC7_5678
9261,GpPW,PC7_8295
8714,GpPW,WP2875_r79890
1045,GpPW,PC7_7767
1839,GpPW,PC7_3700
3669,GpPW,PC7_4772
8100,GpPW,PC7_7439
6429,GpPW,PC7_6801
23595,GpPW,PC7_1818
30814,GpPW,PC7_1561
3557,GpPW,WP2034_r80016
5290,GpPW,PC7_3885
60,GpPW,PC7_6566
5604,GpPW,PC7_2907
83539,GpPW,PC7_2569
5648,GpPW,WP558_r79680
81876,GpPW,PC7_5534
4161,GpPW,WP24_r79999
5908,GpPW,PC7_4063
7360,GpPW,WP500_r63201
2101,GpPW,PC7_6057
348995,GpPW,PC7_4729
3915,GpPW,PC7_5968
5710,GpPW,PC7_1877
1984,GpPW,PC7_5330
88,GpPW,PC7_8629
10890,GpPW,PC7_5307
22999,GpPW,WP2267_r78595
3663,GpPW,PC7_4688
3745,GpPW,PC7_4754
84634,GpPW,PC7_6396
207,GpPW,PC7_7042
8294,GpPW,PC7_2674
5290,GpPW,PC7_6507
8501,GpPW,PC7_8354
55879,GpPW,PC7_4016
5714,GpPW,PC7_5324
10097,GpPW,PC7_6141
7334,GpPW,PC7_4653
3284,GpPW,PC7_4160
2027,GpPW,PC7_4207
55163,GpPW,PC7_5322
836,GpPW,WP2431_r84650
7057,GpPW,PC7_4449
140453,GpPW,PC7_8155
5695,GpPW,PC7_2519
6300,GpPW,WP1449_r81172
6727,GpPW,PC7_5330
122618,GpPW,PC7_3886
4615,GpPW,PC7_2910
9295,GpPW,PC7_6589
3008,GpPW,PC7_2949
4255,GpPW,PC7_2948
30817,GpPW,PC7_7457
4199,GpPW,PC7_3882
5695,GpPW,PC7_6875
6883,GpPW,PC7_4948
4919,GpPW,PC7_6108
5159,GpPW,PC7_5772
3568,GpPW,WP286_r78583
9023,GpPW,PC7_5322
5298,GpPW,PC7_5326
3120,GpPW,PC7_5157
64857,GpPW,PC7_7457
254531,GpPW,PC7_1562
5979,GpPW,PC7_6542
552,GpPW,WP455_r81793
5709,GpPW,PC7_1131
22901,GpPW,PC7_6540
6227,GpPW,PC7_8332
29904,GpPW,PC7_7048
5867,GpPW,PC7_7495
29945,GpPW,PC7_5535
4313,GpPW,PC7_3855
414325,GpPW,PC7_2064
6776,GpPW,PC7_2373
1019,GpPW,PC7_5528
245910,GpPW,PC7_3046
6233,GpPW,PC7_2520
5717,GpPW,PC7_2519
5156,GpPW,PC7_7463
6772,GpPW,PC7_3424
6714,GpPW,PC7_5697
4998,GpPW,WP2446_r84651
23244,GpPW,PC7_3703
23345,GpPW,PC7_2519
344,GpPW,WP430_r82344
3357,GpPW,PC7_3993
6387,GpPW,PC7_4044
23098,GpPW,PC7_8288
5595,GpPW,WP1544_r84696
8772,GpPW,PC7_5708
5683,GpPW,PC7_1672
5928,GpPW,PC7_4002
4987,GpPW,WP3594_r84573
1956,GpPW,WP2870_r79555
6169,GpPW,PC7_4112
83658,GpPW,PC7_7795
1141,GpPW,PC7_5887
572,GpPW,WP1772_r84701
6714,GpPW,PC7_2928
84987,GpPW,PC7_6065
6041,GpPW,PC7_4771
26333,GpPW,PC7_6044
7057,GpPW,PC7_7721
2805,GpPW,PC7_4207
1211,GpPW,PC7_4727
1278,GpPW,PC7_4762
3799,GpPW,PC7_6395
55117,GpPW,PC7_1632
653689,GpPW,WP702_r73516
5595,GpPW,PC7_8431
3776,GpPW,PC7_5887
7321,GpPW,PC7_2532
3516,GpPW,PC7_2681
5910,GpPW,PC7_6891
6209,GpPW,PC7_3278
2793,GpPW,PC7_8339
5692,GpPW,PC7_2830
4001,GpPW,PC7_5273
4318,GpPW,PC7_3065
89780,GpPW,PC7_7484
9402,GpPW,PC7_7787
3990,GpPW,PC7_5326
6470,GpPW,PC7_5325
